重庆开州浦里新区新型城镇化综合建设项目（一期）-G211赵家至长沙公路改造工程－浦万大道（高桥村至古迹村段）监理中标结果公告,招标代理机构：,杭州建设工程造价咨询有限公司,1.86 ,"
				                【信息时间：2019-11-28】【字号 "
永川区石梁桥水库建设工程监理中标结果公告, , , ,"
				                【信息时间：2019-11-29】【字号 "
城口县2019年水土保持项目黄泥溪小流域综合治理工程二标段中标结果公告,招标代理机构：,四川鼎恒建设工程有限公司,512.1,"
				                【信息时间：2019-10-16】【字号 "
中国光大银行股份有限公司重庆分行数据中心建设项目中标结果公告,中国光大银行股份有限公司重庆分行,捷通智慧科技股份有限公司,7595083.12,"
				                【信息时间：2019-10-14】【字号 "
龙溪河大道两侧部分拟出让地块场地平整工程,,,,"
				                【信息时间：2019-10-12】【字号 "
重庆市铜梁区龙都小学扩建学生食堂工程中标结果公告,重庆市铜梁区龙都小学,,,"
				                【信息时间：2019-10-11】【字号 "
双河口镇沙金路路面硬化工程中标结果公告,重庆市巴南区,四川兴林建设工程有限公司 ,327.961689 ,"
				                【信息时间：2019-10-09】【字号 "
重庆市万州区石笋沟水库工程一标段,,,,"
				                【信息时间：2019-09-29】【字号 "
接龙镇养旱路、茶回路、力家岗至石峡子城门公路、九井至黄角湾公路、砖房至沙磅至大涯沟公路硬化建设项目中标结果公告,重庆市巴南区接龙镇人民政府,河南天添建设工程有限公司,1012.564754,"
				                【信息时间：2019-09-27】【字号 "
涪陵区南沱镇2019年第一批通组公路通达、通畅工程（第二次）中标结果公告,招标代理公司,重庆万安建设工程有限公司,506.656482,"
				                【信息时间：2019-09-25】【字号 "
桂林街道双坝社区便民服务中心建设工程中标结果公告,招标代理机构：,重庆市富铭建筑工程有限公司,190,"
				                【信息时间：2019-09-25】【字号 "
开州学苑璟庭附属设施工程(第二次)中标结果公告,招标代理机构：重庆合信工程咨询有限公司,重庆凯博建筑工程有限公司,369.383161,"
				                【信息时间：2019-09-24】【字号 "
"石船镇2019年“四好农村路""（通组硬化路）第一批建设中标结果公告",,,,"
				                【信息时间：2019-09-24】【字号 "
长寿区金科世界城北侧地块（L型）景观绿化项目EPC总承包项目中标结果公告,重庆长寿开发投资（集团）有限公司,重庆市鸿恩寺公园管理有限公司 ,,"
				                【信息时间：2019-09-24】【字号 "
江津区社会公共安全视频监控建设联网应用项目监理中标结果公告,招标代理机构：,	,168,"
				                【信息时间：2019-09-24】【字号 "
忠县东溪镇宝珠村农村移民安置区精准帮扶项目（人畜饮水等）中标结果公告,忠县东溪镇人民政府,重庆市富博建筑工程有限责任公司,91.284892,"
				                【信息时间：2019-09-24】【字号 "
渝北区青少年活动中心装修项目（第二次）中标结果公告,,,,"
				                【信息时间：2019-09-24】【字号 "
艾坪山排水主管网工程中标结果公告,招标代理机构：法正项目管理集团有限公司 ,重庆顺翔建筑工程有限公司,670,"
				                【信息时间：2019-09-24】【字号 "
奉节县安坪镇安坪小学附属幼儿园项目中标结果公告,奉节县安坪镇安坪小学,重庆良宇建筑工程有限公司,944.813736,"
				                【信息时间：2019-09-24】【字号 "
奉节县长安乡西槽村通组通畅工程中标结果公告,奉节县长安土家族乡人民政府,四川中富胜坤建筑工程有限公司,372,"
				                【信息时间：2019-09-24】【字号 "
万州区高铁片区天子湖还房工程——1#、2#、3#生化池,,,,"
				                【信息时间：2019-09-25】【字号 "
长寿区“四好农村路”江南街道天星村通组公路中标结果公告,招标代理机构:,重庆霆峻交通工程有限责任公司,543.359569,"
				                【信息时间：2019-09-25】【字号 "
万盛智慧新城项目策划咨询中标结果公告,招标代理机构：福建省建融工程咨询有限公司西南分公司, ,600 ,"
				                【信息时间：2019-09-25】【字号 "
重庆市万州溪口乡其林、蒲家等村精准帮扶—第二标段（人居环境整治）,,,,"
				                【信息时间：2019-09-25】【字号 "
万州区2018年第四批“四好农村路”建设项目-李河镇通组公路硬化工程,,,,"
				                【信息时间：2019-09-25】【字号 "
长寿区2019年“四好农村路”邻封镇焦家村通组公路工程中标结果公告,重庆市长寿区邻封镇人民政府,重庆大明顺建筑工程有限公司,416.402026,"
				                【信息时间：2019-09-25】【字号 "
徐堡农民聚居区2标段工程中标结果公告,,,,"
				                【信息时间：2019-09-25】【字号 "
重庆市长寿区“四好农村路”-云台镇拱桥村通组公路中标结果公告,招标代理机构:重庆市鼎运工程咨询有限公司,重庆信航建设工程有限公司,664.384132,"
				                【信息时间：2019-09-25】【字号 "
重庆医科大学附属第一医院第一分院改扩建项目旧房拆除工程(东区)中标结果公告,招标代理机构：,,,"
				                【信息时间：2019-09-25】【字号 "
荣昌区峰高至万灵段升级改造工程中标结果公告,重庆市荣昌区宏基路桥建设有限公司,凯天建设发展集团有限公司,3298.967222 ,"
				                【信息时间：2019-09-25】【字号 "
万州区东北部城市拓展区供水工程施工监理,,,,"
				                【信息时间：2019-09-26】【字号 "
巴南区南泉街道团双路建设项目中标结果公告,招标代理机构：亿诚建设项目管理有限公司,赣州博达公路有限公司,482.4374,"
				                【信息时间：2019-09-26】【字号 "
潼南区坛罐窑中型灌区节水配套改造项目三标段中标结果公告,招标代理机构：方大国际工程咨询股份有限公司,流标,,"
				                【信息时间：2019-09-26】【字号 "
恺之峰旅游区(玻璃观景平台)建设项目EPC总承包中标结果公告,招标代理机构：中科标禾工程项目管理有限公司,华弘国际工程设计有限公司、重庆巨能建设集团建筑安装工程有限公司,按财政评审的结算金额（含建安工程费和设计费）为基础,"
				                【信息时间：2019-09-26】【字号 "
八塘镇柏崇路路面硬化改造工程中标结果公告,招标代理机构：中大宇辰项目管理有限公司,重庆永旺建筑工程有限公司,554,"
				                【信息时间：2019-09-26】【字号 "
江津区车辆管理所业务用房迁建项目装饰装修工程中标结果公告,重庆市江津区公安局,重庆市艾坤建筑工程有限公司,389,"
				                【信息时间：2019-09-26】【字号 "
重庆市万州江南新区梨园景观工程—配套服务建筑监理（第二次）,,,,"
				                【信息时间：2019-09-27】【字号 "
巫山县2019年度农村饮水安全巩固提升工程（一标段）中标结果公告,招标代理机构:重庆图强工程技术咨询有限公司,福建省恒鼎建筑工程有限公司,556.462156,"
				                【信息时间：2019-09-27】【字号 "
巫山县2019年度农村饮水安全巩固提升工程（二标段）中标结果公告,招标代理机构:重庆图强工程技术咨询有限公司,福建省恒鼎建筑工程有限公司,556.462156,"
				                【信息时间：2019-09-27】【字号 "
巫山县2019年度农村饮水安全巩固提升工程（三标段）中标结果公告,招标代理机构:重庆图强工程技术咨询有限公司,福建省恒鼎建筑工程有限公司,556.462156,"
				                【信息时间：2019-09-27】【字号 "
巫山县2019年度农村饮水安全巩固提升工程（四标段）中标结果公告,招标代理机构:重庆图强工程技术咨询有限公司,福建省恒鼎建筑工程有限公司,556.462156,"
				                【信息时间：2019-09-27】【字号 "
潼南区双江镇等6个污水处理厂改（迁）建工程EPC总承包项目中标结果公告,招标代理机构：,重庆洪云建筑工程有限公司,1443,"
				                【信息时间：2019-09-27】【字号 "
G211城口界至郭家段路面改造工程设计中标结果公告,招标代理机构：,重庆路达工程勘察设计咨询有限公司,,"
				                【信息时间：2019-09-27】【字号 "
