帖子名称,发帖人ID,发帖人progression,发帖时间,发帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following,回帖人ID,回帖人progression,回帖时间,回帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,Giba,grandmaster,2019-04-10T16:30:41.253Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,TK,contributor,2019-04-11T14:43:21.32Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5
"Result seems finalized, check your profile!",Strideradu,master,2019-04-16T18:08:08.59Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,KrutarthMajithia,contributor,2019-04-20T19:48:23.78Z,868,1,1,0,0,Parsippany-Troy Hills-USA,2016-09-04T22:27:02.843Z,0,0
"""boosting algorithms like LightGBM are not very good in detecting the frequencies of the features""",Scrooge,contributor,2019-04-11T01:09:10.603Z,4553,20,15,5,136,Calgary-Canada,2014-07-01T02:11:56.75Z,0,1,Fredrik Jonsson,expert,2019-04-11T01:12:26.943Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,CoreyLevinson,master,2019-03-29T00:56:19.63Z,13,674,644,30,851,Chicago-United States,2017-08-29T20:50:01.603Z,49,24
Two ways to utilize the magic?,bearstrikesback,expert,2019-04-09T13:44:42.62Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0,0DD1,expert,2019-04-09T13:57:52.343Z,,52,44,8,12,Gurgaon-India,2017-06-07T03:55:40.277Z,13,17
cv:0.907 LB0.882 what happened????,wanghui,contributor,2019-04-08T14:42:37.7Z,155,20,17,3,4,Nanjing-China,2018-05-31T08:36:42.127Z,2,2,Ilu,expert,2019-04-08T14:52:49.793Z,58,255,249,6,394,Aachen-Germany,2019-01-05T19:17:10.167Z,11,1
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Stanislav Blinov,expert,2019-03-30T16:10:30.3Z,272,113,107,6,56,Moscow-Russia,2019-02-25T15:19:43.347Z,1,0
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Optimo,expert,2019-04-04T23:10:00.8Z,158,4,4,0,2,Paris-France,2014-04-25T13:57:25.177Z,1,2
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,chizhu,master,2019-04-01T08:24:46.503Z,37,68,61,7,122,Chongqing-China,2018-02-02T09:10:04.77Z,100,49
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,raddar,grandmaster,2019-03-25T16:59:43.777Z,55,622,585,37,2838,Vilnius-Lithuania,2015-08-24T11:49:01.703Z,1442,9
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Ilya Khristoforov,expert,2019-04-04T06:01:25.63Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Alexander Firsov,expert,2019-04-11T13:14:10.39Z,2635,205,188,17,619,Novosibirsk-Russia,2017-04-10T16:47:13.703Z,15,0
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,Xuan Cao,master,2019-04-17T03:45:21.937Z,17,162,149,13,419,Philadelphia-United States,2017-03-31T15:21:17.997Z,55,19
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,kojimar,expert,2019-04-10T16:32:57.107Z,292,17,17,0,5,Tokyo-Japan,2018-04-08T10:13:44.813Z,4,6
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,GSD,expert,2019-04-11T14:35:31.483Z,4247,789,768,21,308,India-,2017-06-02T15:56:37.777Z,61,53
Want to team up - My only differential is handling Keras very well.,Daniel Möller,expert,2019-04-03T21:52:59.607Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,Daniel Möller,expert,2019-04-04T02:26:58.553Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
Question about LGBM overfitting,Daniel Möller,expert,2019-04-03T20:47:43.12Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,CPMP,grandmaster,2019-04-05T11:16:05.52Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
How many times have you reread discussion?,Chua Cheng Hong,contributor,2019-04-03T18:34:46.283Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,RDizzl3,master,2019-04-03T19:41:28.923Z,101,200,181,19,443,Los Angeles-USA,2015-02-08T00:44:55.953Z,94,79
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Tilii,grandmaster,2019-03-31T21:49:33.97Z,2952,1445,1352,93,5021,-USA,2016-03-06T08:29:19.203Z,521,0
Need more teams to compensate the climbing LB,Strideradu,master,2019-04-01T22:24:03.723Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Xuan Cao,master,2019-04-01T23:45:36.073Z,17,162,149,13,419,Philadelphia-United States,2017-03-31T15:21:17.997Z,55,19
how to tune lightgbm after adding features?,J MA,expert,2019-04-03T13:27:41.503Z,321,216,176,40,127,Utrecht-Netherlands,2017-06-11T15:56:20.07Z,11,9,Chris Deotte,master,2019-04-03T22:03:06.767Z,50,1707,1676,31,4647,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,Attosecond,master,2019-03-28T23:15:58.507Z,96,141,128,13,145,London-UK,2016-02-16T11:18:06.993Z,61,2
Two ways to utilize the magic?,bearstrikesback,expert,2019-04-09T13:44:42.62Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0,Alexey Pronin,expert,2019-04-09T13:53:08.047Z,51,124,122,2,192,Pella-United States,2017-11-30T21:53:31.257Z,16,1
cv:0.907 LB0.882 what happened????,wanghui,contributor,2019-04-08T14:42:37.7Z,155,20,17,3,4,Nanjing-China,2018-05-31T08:36:42.127Z,2,2,Issam Mahmoudi,expert,2019-04-08T14:57:58.44Z,156,71,71,0,72,Paris-France,2017-06-28T14:45:04.86Z,3,1
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,yinz,novice,2019-03-30T16:20:25.21Z,1634,1,1,0,0,-,2018-01-20T16:46:43.857Z,0,0
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,George Okromchedlishvili,expert,2019-04-05T09:54:05.04Z,183,67,59,8,76,Moscow-Russia,2018-12-27T14:58:41.313Z,4,3
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,Nanashi,expert,2019-04-02T09:38:43.367Z,663,266,204,62,594,Valladolid-Spain,2019-02-04T18:37:32.493Z,197,101
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,ZuoVJ,expert,2019-04-05T13:00:32.793Z,1635,8,7,1,5,Guangzhou-China,2018-01-29T02:47:48.633Z,5,12
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Vishal Sharma,contributor,2019-04-04T06:06:18.897Z,502,75,75,0,26,Ranchi-India,2017-08-09T14:36:16.317Z,3,23
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,danzel,expert,2019-04-11T11:25:25.58Z,330,55,52,3,88,Frankfurt am Main-Deutschland,2016-05-06T21:35:21.697Z,7,11
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,uuulearn,master,2019-04-17T02:42:14.077Z,12,8,8,0,14,Beijing-China,2018-01-07T06:06:51.367Z,27,26
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,Mattia Vanzetto,novice,2019-04-10T16:51:35.353Z,2540,19,16,3,3,Padua-Italy,2018-06-20T08:04:24.663Z,0,4
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Andrian Putina,contributor,2019-04-11T12:29:13.847Z,112,2,2,0,4,Paris-France,2019-03-04T10:01:58.433Z,1,4
Want to team up - My only differential is handling Keras very well.,Daniel Möller,expert,2019-04-03T21:52:59.607Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,JM100,expert,2019-04-03T22:52:23.193Z,1501,160,131,29,199,Fes-Morocco,2018-09-11T15:26:46.917Z,8,43
Question about LGBM overfitting,Daniel Möller,expert,2019-04-03T20:47:43.12Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,Abhishek,grandmaster,2019-04-03T20:50:41.82Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0
How many times have you reread discussion?,Chua Cheng Hong,contributor,2019-04-03T18:34:46.283Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,Nawid Sayed,expert,2019-04-03T20:19:14.953Z,3,19,18,1,57,Weinheim-Germany,2019-01-29T19:58:35.483Z,37,6
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Tilii,grandmaster,2019-03-31T21:35:26.13Z,2952,1445,1352,93,5021,-USA,2016-03-06T08:29:19.203Z,521,0
Need more teams to compensate the climbing LB,Strideradu,master,2019-04-01T22:24:03.723Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Strideradu,master,2019-04-03T16:17:07.357Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42
how to tune lightgbm after adding features?,J MA,expert,2019-04-03T13:27:41.503Z,321,216,176,40,127,Utrecht-Netherlands,2017-06-11T15:56:20.07Z,11,9,Xuan Cao,master,2019-04-03T22:27:05.963Z,17,162,149,13,419,Philadelphia-United States,2017-03-31T15:21:17.997Z,55,19
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,MichaelP,master,2019-03-28T23:16:17.29Z,915,224,212,12,409,-,2016-01-21T21:12:47.087Z,26,34
Two ways to utilize the magic?,bearstrikesback,expert,2019-04-09T13:44:42.62Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0,Ilu,expert,2019-04-09T14:44:03.227Z,58,255,249,6,394,Aachen-Germany,2019-01-05T19:17:10.167Z,11,1
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Chad,novice,2019-04-05T09:14:52.933Z,2508,36,34,2,12,Taipei-Taiwan,2018-08-24T01:46:17.627Z,2,6
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Yimin Nie,expert,2019-04-08T17:00:44.35Z,159,19,18,1,24,Montreal-Canada,2015-04-24T03:33:25.833Z,5,2
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,spongebob,master,2019-04-01T08:25:25.137Z,12,165,141,24,395,北京市-China,2017-03-23T02:51:17.263Z,130,50
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,Jacek Poplawski,expert,2019-03-21T18:09:58.527Z,2743,411,364,47,445,Wrocław-Polska,2017-06-24T00:01:35.793Z,17,20
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Chain_Reaction,novice,2019-04-04T07:00:12.363Z,1692,7,7,0,2,-,2018-10-27T14:13:35.453Z,0,4
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,WispZero,expert,2019-04-11T08:56:01.357Z,54,12,11,1,54,Moscow-Russia,2015-10-26T11:26:31.007Z,1,0
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,BiooooMod,contributor,2019-04-11T12:14:56.383Z,967,11,10,1,8,Miramar-Argentina,2018-04-16T22:59:16.81Z,1,3
Want to team up - My only differential is handling Keras very well.,Daniel Möller,expert,2019-04-03T21:52:59.607Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,interneuron,master,2019-04-03T23:00:45.983Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
0.926!,NZ,contributor,2019-04-01T21:07:52.467Z,1312,54,42,12,60,Rotterdam-Netherlands,2019-03-07T21:32:08.58Z,8,26,César Parra Rojas,expert,2019-04-01T21:08:48.757Z,179,24,22,2,26,Frankfurt-Germany,2018-01-05T11:28:05.903Z,9,13
what is the var_x?,Can Akyıldırım,novice,2019-04-03T17:22:13.8Z,,1,0,1,1,Eskişehir-Turkey,2018-04-13T14:26:54.377Z,0,2,Fredrik Jonsson,expert,2019-04-03T18:23:39.053Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0
Std feature importance very high,ziizai,novice,2019-04-05T02:11:30.47Z,1909,6,4,2,0,-,2018-07-21T05:36:33.35Z,0,5,Alexander Firsov,expert,2019-04-05T08:17:11.713Z,2635,205,188,17,619,Novosibirsk-Russia,2017-04-10T16:47:13.703Z,15,0
Why do I do a lot of nn results are still not very good?,MATTHEW,contributor,2019-04-05T02:12:08.147Z,3009,4,3,1,-1,Tianjin-China,2018-12-11T15:22:12.173Z,1,1,Daniel Möller,expert,2019-04-05T05:19:45.887Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
Association analysis reveals some patterns,Narine,novice,2019-04-05T04:38:13.59Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1,happycube,expert,2019-04-05T04:58:48.48Z,247,648,628,20,741,Goleta-United States,2015-07-29T05:24:06.363Z,22,6
Kernel: how long till the gold medal?,Ilya Khristoforov,expert,2019-04-02T13:47:12.083Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44,Ilya Khristoforov,expert,2019-04-02T13:48:27.56Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Question about LGBM overfitting,Daniel Möller,expert,2019-04-03T20:47:43.12Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,Rageeni Sah,contributor,2019-04-05T09:28:30.78Z,,28,24,4,8,Bangalore-India,2017-09-23T08:55:37.28Z,11,13
How many times have you reread discussion?,Chua Cheng Hong,contributor,2019-04-03T18:34:46.283Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,César Parra Rojas,expert,2019-04-03T18:37:17.263Z,179,24,22,2,26,Frankfurt-Germany,2018-01-05T11:28:05.903Z,9,13
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,true_pk,master,2019-03-31T20:36:50.39Z,22,65,59,6,168,Gatineau-Canada,2014-09-10T11:09:39.773Z,6,6
Need more teams to compensate the climbing LB,Strideradu,master,2019-04-01T22:24:03.723Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Grzegorz Sionkowski,expert,2019-04-01T23:49:26.793Z,1512,402,391,11,822,Toruń-PL,2015-05-29T17:50:42.263Z,78,7
how to tune lightgbm after adding features?,J MA,expert,2019-04-03T13:27:41.503Z,321,216,176,40,127,Utrecht-Netherlands,2017-06-11T15:56:20.07Z,11,9,Jacek Poplawski,expert,2019-04-03T14:18:40.203Z,2743,411,364,47,445,Wrocław-Polska,2017-06-24T00:01:35.793Z,17,20
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,CPMP,grandmaster,2019-03-30T20:09:29.55Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,timetraveller,contributor,2019-04-08T17:18:48.213Z,258,26,26,0,41,Delhi-India,2018-09-11T19:09:35.793Z,1,6
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,zeyu wang,contributor,2019-04-01T06:43:55.127Z,256,10,8,2,11,Tokyo-Japan,2014-10-13T13:36:05.8Z,0,1
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,interneuron,master,2019-03-21T19:39:09.797Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,YaGana Sheriff-Hussaini,expert,2019-04-04T07:49:42.467Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Xuan Cao,master,2019-04-11T01:36:17.65Z,17,162,149,13,419,Philadelphia-United States,2017-03-31T15:21:17.997Z,55,19
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Murat Korkmaz,expert,2019-04-11T09:46:24.28Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27
0.926!,NZ,contributor,2019-04-01T21:07:52.467Z,1312,54,42,12,60,Rotterdam-Netherlands,2019-03-07T21:32:08.58Z,8,26,CPMP,grandmaster,2019-04-02T03:09:15.223Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
what is the var_x?,Can Akyıldırım,novice,2019-04-03T17:22:13.8Z,,1,0,1,1,Eskişehir-Turkey,2018-04-13T14:26:54.377Z,0,2,JM100,expert,2019-04-03T20:48:44.577Z,1501,160,131,29,199,Fes-Morocco,2018-09-11T15:26:46.917Z,8,43
Std feature importance very high,ziizai,novice,2019-04-05T02:11:30.47Z,1909,6,4,2,0,-,2018-07-21T05:36:33.35Z,0,5,Anton Enns,expert,2019-04-05T07:21:28.107Z,2148,34,34,0,21,Hildesheim-Germany,2017-04-02T14:03:15.293Z,7,19
Why do I do a lot of nn results are still not very good?,MATTHEW,contributor,2019-04-05T02:12:08.147Z,3009,4,3,1,-1,Tianjin-China,2018-12-11T15:22:12.173Z,1,1,mhviraf,expert,2019-04-05T05:09:11.39Z,1631,147,134,13,179,Salt Lake City-USA,2018-02-03T02:01:03.33Z,13,78
Association analysis reveals some patterns,Narine,novice,2019-04-05T04:38:13.59Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1,mhviraf,expert,2019-04-05T05:03:00.27Z,1631,147,134,13,179,Salt Lake City-USA,2018-02-03T02:01:03.33Z,13,78
Question about LGBM overfitting,Daniel Möller,expert,2019-04-03T20:47:43.12Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1,Jacek Poplawski,expert,2019-04-05T09:35:19.047Z,2743,411,364,47,445,Wrocław-Polska,2017-06-24T00:01:35.793Z,17,20
How many times have you reread discussion?,Chua Cheng Hong,contributor,2019-04-03T18:34:46.283Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,Daniel Möller,expert,2019-04-03T19:13:31.31Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,CPMP,grandmaster,2019-03-31T16:04:35.183Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Need more teams to compensate the climbing LB,Strideradu,master,2019-04-01T22:24:03.723Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,JM100,expert,2019-04-01T23:37:18.393Z,1501,160,131,29,199,Fes-Morocco,2018-09-11T15:26:46.917Z,8,43
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,Oleg Knaub,contributor,2019-04-01T15:13:02.203Z,43,29,27,2,60,Amberg-Germany,2019-01-27T15:15:10.567Z,4,6
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,authman,expert,2019-04-01T06:20:13.507Z,179,332,304,28,624,Irving-United States,2017-02-28T00:17:38.713Z,19,4
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,ChrisCC,master,2019-03-21T19:29:41.013Z,17,49,44,5,94,Calgary-Canada,2015-03-19T14:45:35.663Z,75,39
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,FAYAZ,contributor,2019-04-04T10:43:05.35Z,,1,1,0,0,Bangalore-India,2019-04-01T07:24:36.263Z,0,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Manoj,expert,2019-04-11T01:36:02.933Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Moradnejad,expert,2019-04-11T09:09:56.923Z,1378,95,83,12,143,Istanbul-Turkey,2018-08-06T09:18:23.173Z,26,25
Explaining feature engineering ,Nitesh Chaudhry,contributor,2019-04-04T14:40:59.433Z,1932,30,27,3,40,Kanpur-India,2018-08-31T16:59:46.513Z,12,11,zcistkidd,expert,2019-04-04T16:52:56.45Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15
Summarize the tournament in one image,B H,contributor,2019-04-02T23:40:26.487Z,697,81,63,18,80,Paris-France,2017-11-01T22:00:53.033Z,6,8,Ilya Khristoforov,expert,2019-04-03T07:19:59.823Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
One Quarter Magic Club,Chua Cheng Hong,contributor,2019-04-03T12:28:29.13Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,interneuron,master,2019-04-03T15:20:55.26Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
Can someone help me on my code to calculate the unique count of each values ,zcistkidd,expert,2019-04-11T00:30:51.613Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15,Marek Wyborski,expert,2019-04-11T00:34:54.713Z,327,16,15,1,15,Sevilla-Spain,2018-08-16T17:08:35.29Z,1,11
